@relation BustersKeyboardAgenttraining-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1-weka.filters.unsupervised.attribute.Remove-R19-43-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Remove-R15

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute score numeric
@attribute nearestDot numeric
@attribute nextScore numeric

@data
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,354,9999,353
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,353,9999,352
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,352,9999,351
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,351,9999,350
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,350,9999,349
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,349,9999,348
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,348,9999,547
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,547,9999,546
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,546,9999,545
19,6,1,1,3,1,5,1,25,7,1000,1000,1000,7,545,9999,544
20,6,1,1,3,1,5,1,25,7,1000,1000,1000,6,544,9999,543
21,6,1,1,3,1,5,1,25,7,1000,1000,1000,5,543,9999,542
22,6,1,1,3,1,5,1,25,7,1000,1000,1000,4,542,9999,541
23,6,1,1,3,1,5,1,25,7,1000,1000,1000,3,541,9999,540
24,6,1,1,3,1,5,1,25,7,1000,1000,1000,2,540,9999,539
14,11,5,13,12,3,12,17,24,9,11,10,8,12,-6,4,-7
13,11,4,13,12,4,11,17,24,9,11,8,8,14,-7,5,-8
12,11,3,13,11,4,11,16,25,9,11,8,6,16,-8,6,-9
11,11,3,14,12,4,11,16,25,8,11,8,5,18,-9,7,-10
10,11,3,13,13,4,11,15,25,7,9,10,5,18,-10,8,-11
9,11,3,14,12,4,11,15,24,7,9,10,6,18,-11,8,-12
9,12,3,15,13,4,11,14,24,8,9,12,4,18,-12,7,-13
9,13,2,15,14,4,10,14,24,9,9,14,2,20,-13,6,-14
9,14,1,15,14,3,11,14,25,9,9,16,2,22,-14,5,-15
9,15,1,16,14,4,10,14,26,9,9,16,2,22,-15,4,-16
10,15,1,16,15,4,10,14,25,9,10,16,1,22,-16,5,-17
11,15,2,16,16,4,10,13,26,9,10,16,3,20,-17,6,-18
12,15,3,16,16,3,10,14,26,10,10,16,3,20,-18,7,-19
12,14,3,15,16,3,10,14,27,10,10,15,2,20,-19,8,-20
11,14,3,14,15,3,10,14,27,9,8,15,1,20,-20,7,179
10,14,3,15,15,3,5,1,27,10,8,16,1000,22,179,6,178
9,14,2,15,14,3,5,1,28,10,8,16,1000,22,178,5,177
8,14,2,16,14,3,5,1,27,10,8,17,1000,23,177,4,176
7,14,1,16,15,3,5,1,27,10,8,19,1000,25,176,3,175
6,14,1,16,16,3,5,1,28,10,7,21,1000,25,175,4,174
5,14,1,17,17,3,5,1,28,11,7,23,1000,26,174,5,173
4,14,1,17,18,3,5,1,28,11,6,25,1000,28,173,6,172
3,14,1,18,19,3,5,1,28,10,6,27,1000,30,172,7,171
2,14,1,17,19,4,5,1,28,9,4,27,1000,30,171,8,170
1,14,1,16,19,3,5,1,28,10,2,29,1000,30,170,9,169
1,15,1,17,19,3,5,1,28,11,2,30,1000,32,169,8,168
1,16,1,18,19,4,5,1,28,10,2,30,1000,33,168,7,167
1,17,2,18,20,4,5,1,28,10,2,32,1000,33,167,6,166
1,18,2,17,21,4,5,1,28,11,2,34,1000,34,166,7,165
2,18,2,17,20,4,5,1,28,11,1,32,1000,32,165,6,164
3,18,2,17,20,3,5,1,28,12,2,32,1000,30,164,5,163
4,18,1,17,20,4,5,1,28,13,4,30,1000,28,163,4,162
4,17,1,18,20,5,5,1,28,14,4,28,1000,27,162,3,161
3,17,2,18,20,4,5,1,28,14,2,30,1000,27,161,4,160
2,17,2,18,20,5,5,1,28,15,1,30,1000,27,160,5,159
1,17,2,18,21,5,5,1,27,15,2,32,1000,28,159,6,158
1,18,2,17,21,4,5,1,27,15,2,34,1000,30,158,7,157
2,18,2,17,21,4,5,1,27,14,1,33,1000,29,157,6,156
3,18,1,17,21,4,5,1,27,14,3,32,1000,27,156,5,155
4,18,1,16,21,4,5,1,26,14,5,31,1000,26,155,4,154
4,17,1,17,22,4,5,1,26,14,3,31,1000,26,154,3,153
3,17,2,17,22,4,5,1,26,13,1,32,1000,28,153,4,352
2,17,1,1,22,3,5,1,26,12,1000,34,1000,29,352,5,351
1,17,1,1,21,3,5,1,26,12,1000,34,1000,29,351,6,350
1,17,1,1,22,3,5,1,25,12,1000,35,1000,30,350,6,349
2,17,1,1,23,3,5,1,26,12,1000,35,1000,29,349,5,348
3,17,1,1,24,3,5,1,26,12,1000,35,1000,27,348,4,347
4,17,1,1,24,3,5,1,26,13,1000,34,1000,25,347,3,346
5,17,1,1,24,4,5,1,26,14,1000,32,1000,23,346,2,345
6,17,1,1,24,4,5,1,26,15,1000,31,1000,21,345,1,444
7,17,1,1,24,3,5,1,25,15,1000,31,1000,19,444,15,443
