@relation 'BustersKeyboardAgenttraining-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1-weka.filters.unsupervised.attribute.Remove-R18,44,46'

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute validActions {1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute lastAction {Stop,South,North,West,East}
@attribute aliveGhost {1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute action {Stop,South,North,West,East}

@data
7,14,1,16,15,3,5,1,27,10,8,19,1000,25,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
6,14,1,16,16,3,5,1,28,10,7,21,1000,25,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
5,14,1,17,17,3,5,1,28,11,7,23,1000,26,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
4,14,1,17,18,3,5,1,28,11,6,25,1000,28,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
3,14,1,18,19,3,5,1,28,10,6,27,1000,30,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
2,14,1,17,19,4,5,1,28,9,4,27,1000,30,1111,West,10,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,West
1,14,1,16,19,3,5,1,28,10,2,29,1000,30,1110,West,10,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,G,E,E,North
1,15,1,17,19,3,5,1,28,11,2,30,1000,32,1110,North,10,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,G,E,E,North
1,16,1,18,19,4,5,1,28,10,2,30,1000,33,1110,North,10,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,G,E,E,North
1,17,2,18,20,4,5,1,28,10,2,32,1000,33,1110,North,10,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,G,E,W,W,W,W,W,North
1,18,2,17,21,4,5,1,28,11,2,34,1000,34,110,North,10,W,W,E,E,E,W,W,E,G,E,W,W,E,E,E,W,W,W,W,W,W,W,W,W,W,East
2,18,2,17,20,4,5,1,28,11,1,32,1000,32,111,East,10,W,E,E,E,E,W,E,G,E,E,W,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East
3,18,2,17,20,3,5,1,28,12,2,32,1000,30,111,East,10,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East
4,18,1,17,20,4,5,1,28,13,4,30,1000,28,111,East,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,South
4,17,1,18,20,5,5,1,28,14,4,28,1000,27,1111,South,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,West
3,17,2,18,20,4,5,1,28,14,2,30,1000,27,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,W,W,W,W,W,West
2,17,2,18,20,5,5,1,28,15,1,30,1000,27,1111,West,10,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,G,E,E,W,W,W,W,W,West
1,17,2,18,21,5,5,1,27,15,2,32,1000,28,1110,West,10,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,G,E,W,W,W,W,W,North
1,18,2,17,21,4,5,1,27,15,2,34,1000,30,110,North,10,W,W,E,E,E,W,W,E,G,E,W,W,E,E,E,W,W,W,W,W,W,W,W,W,W,East
2,18,2,17,21,4,5,1,27,14,1,33,1000,29,111,East,10,W,E,E,E,E,W,E,G,E,E,W,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East
3,18,1,17,21,4,5,1,27,14,3,32,1000,27,111,East,10,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East
4,18,1,16,21,4,5,1,26,14,5,31,1000,26,111,East,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,South
4,17,1,17,22,4,5,1,26,14,3,31,1000,26,1111,South,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,West
3,17,2,17,22,4,5,1,26,13,1,32,1000,28,1111,West,10,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,W,W,W,W,W,West
2,17,1,1,22,3,5,1,26,12,1000,34,1000,29,1111,West,1010,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,W,W,W,W,West
1,17,1,1,21,3,5,1,26,12,1000,34,1000,29,1110,West,1010,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,W,W,W,West
1,17,1,1,22,3,5,1,25,12,1000,35,1000,30,1110,West,1010,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,W,W,W,East
2,17,1,1,23,3,5,1,26,12,1000,35,1000,29,1111,East,1010,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,W,W,W,W,East
3,17,1,1,24,3,5,1,26,12,1000,35,1000,27,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
4,17,1,1,24,3,5,1,26,13,1000,34,1000,25,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
5,17,1,1,24,4,5,1,26,14,1000,32,1000,23,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
6,17,1,1,24,4,5,1,26,15,1000,31,1000,21,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
7,17,1,1,24,3,5,1,25,15,1000,31,1000,19,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
8,17,1,1,25,3,5,1,24,15,1000,31,1000,17,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,East
9,17,1,1,24,3,5,1,24,16,1000,29,1000,17,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,South
9,16,1,1,24,3,5,1,25,16,1000,28,1000,17,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,15,1,1,23,3,5,1,25,17,1000,26,1000,18,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,14,1,1,23,3,5,1,25,17,1000,25,1000,20,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,13,1,1,23,3,5,1,25,18,1000,24,1000,22,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,12,1,1,23,3,5,1,26,18,1000,23,1000,24,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,11,1,1,23,4,5,1,27,18,1000,21,1000,26,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,10,1,1,23,5,5,1,28,18,1000,19,1000,26,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,9,1,1,24,5,5,1,28,17,1000,19,1000,27,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,8,1,1,24,4,5,1,28,17,1000,19,1000,28,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
9,7,1,1,25,4,5,1,28,17,1000,19,1000,29,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
10,7,1,1,25,4,5,1,28,17,1000,18,1000,27,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
11,7,1,1,26,4,5,1,27,17,1000,18,1000,26,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
12,7,1,1,25,4,5,1,27,17,1000,16,1000,25,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
13,7,1,1,25,3,5,1,27,17,1000,16,1000,25,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
14,7,1,1,26,3,5,1,27,18,1000,16,1000,24,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
15,7,1,1,26,4,5,1,27,18,1000,14,1000,22,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
16,7,1,1,27,4,5,1,26,18,1000,14,1000,20,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
17,7,1,1,27,4,5,1,25,18,1000,13,1000,19,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
18,7,1,1,27,5,5,1,25,18,1000,11,1000,17,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
19,7,1,1,27,4,5,1,25,17,1000,11,1000,15,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
20,7,1,1,27,3,5,1,24,17,1000,11,1000,13,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
21,7,1,1,26,3,5,1,24,16,1000,9,1000,13,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
22,7,1,1,27,3,5,1,24,17,1000,9,1000,12,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
23,7,1,1,28,3,5,1,24,17,1000,9,1000,10,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
23,6,1,1,28,3,5,1,23,17,1000,8,1000,11,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
23,5,1,1,27,3,5,1,23,17,1000,6,1000,11,1111,South,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
24,5,1,1,27,3,5,1,23,16,1000,5,1000,11,1111,East,1010,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
25,5,1,1,26,3,5,1,23,15,1000,3,1000,11,1111,East,1010,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
26,5,1,1,25,3,5,1,24,15,1000,3,1000,11,1111,East,1010,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
27,5,1,1,25,3,5,1,25,15,1000,4,1000,13,1111,East,1010,G,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,South
27,4,1,1,26,3,5,1,25,16,1000,2,1000,13,1111,South,1010,W,W,W,W,W,E,G,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,West
26,4,1,1,25,3,5,1,26,16,1000,2,1000,13,1111,West,1010,W,W,W,W,W,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
25,4,1,1,3,1,5,1,26,17,1000,1000,1000,14,1111,West,1110,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
24,4,1,1,3,1,5,1,26,17,1000,1000,1000,14,1111,West,1110,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
24,3,1,1,3,1,5,1,26,16,1000,1000,1000,15,1011,South,1110,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
24,3,1,1,3,1,5,1,26,16,1000,1000,1000,14,1011,South,1110,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
24,3,1,1,3,1,5,1,25,16,1000,1000,1000,13,1011,South,1110,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,4,1,1,3,1,5,1,24,16,1000,1000,1000,12,1111,North,1110,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,5,1,1,3,1,5,1,24,16,1000,1000,1000,12,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,6,1,1,3,1,5,1,24,17,1000,1000,1000,12,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,7,1,1,3,1,5,1,25,17,1000,1000,1000,12,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,8,1,1,3,1,5,1,26,17,1000,1000,1000,11,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,9,1,1,3,1,5,1,26,17,1000,1000,1000,11,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,10,1,1,3,1,5,1,27,17,1000,1000,1000,9,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,11,1,1,3,1,5,1,27,16,1000,1000,1000,7,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,12,1,1,3,1,5,1,27,15,1000,1000,1000,7,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
24,13,1,1,3,1,5,1,27,16,1000,1000,1000,6,1111,North,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
25,13,1,1,3,1,5,1,27,16,1000,1000,1000,4,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
26,13,1,1,3,1,5,1,26,16,1000,1000,1000,2,1111,East,1110,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
27,13,1,1,3,1,5,1,26,15,1000,1000,1000,4,1111,East,1110,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,G,E,E,W,North
27,14,1,1,3,1,5,1,25,15,1000,1000,1000,2,1111,North,1110,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,G,E,E,E,W,E,E,E,E,W,North
18,5,10,4,17,7,22,6,27,3,9,3,5,12,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,East
19,5,10,3,17,8,22,5,28,3,11,5,3,11,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
20,5,11,3,17,7,21,5,28,3,11,5,1,10,1111,East,0,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East
21,5,11,3,16,7,5,1,28,3,12,7,1000,8,1111,East,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
22,5,11,3,17,7,5,1,27,3,13,7,1000,6,1111,East,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
23,5,10,3,17,8,5,1,26,3,15,9,1000,4,1111,East,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
24,5,9,3,17,9,5,1,26,4,17,11,1000,4,1111,East,10,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
24,4,9,3,18,9,5,1,26,3,16,11,1000,2,1111,South,10,W,W,W,W,W,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
24,3,10,3,18,10,5,1,26,4,14,13,1000,2,1011,South,10,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East
25,3,9,3,18,11,5,1,25,4,16,15,1000,1000,1011,East,11,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,East
26,3,10,3,17,11,5,1,7,1,16,17,1000,1000,1011,East,11,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
26,4,9,3,16,11,5,1,7,1,18,17,1000,1000,1111,North,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
26,5,9,3,15,11,5,1,7,1,19,17,1000,1000,1111,North,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
25,5,10,3,15,12,5,1,7,1,17,17,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
24,5,11,3,15,13,5,1,7,1,15,17,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
23,5,12,3,16,13,5,1,7,1,13,15,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
22,5,12,4,17,13,5,1,7,1,11,13,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
21,5,12,4,17,13,5,1,7,1,10,12,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
20,5,12,5,17,13,5,1,7,1,8,11,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
19,5,11,5,17,14,5,1,7,1,8,11,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
18,5,11,5,17,13,5,1,7,1,7,9,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
17,5,11,6,17,12,5,1,7,1,7,7,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
16,5,10,6,18,12,5,1,7,1,7,9,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
15,5,11,6,17,12,5,1,7,1,5,9,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
14,5,11,5,16,12,5,1,7,1,3,9,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
13,5,11,6,15,12,5,1,7,1,3,9,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,West
12,5,11,6,15,13,5,1,7,1,2,11,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,West
11,5,10,6,14,13,5,1,7,1,2,11,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,North
11,6,10,6,14,12,5,1,7,1,1,9,1000,1000,1111,North,11,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,North
11,7,10,5,14,12,5,1,7,1,3,8,1000,1000,1111,North,11,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
11,8,9,5,15,12,5,1,7,1,5,8,1000,1000,1111,North,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
10,8,9,4,15,13,5,1,7,1,5,10,1000,1000,1111,West,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
10,7,9,4,15,12,5,1,7,1,4,10,1000,1000,1111,South,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
10,6,8,4,15,11,5,1,7,1,4,10,1000,1000,1111,South,11,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
10,5,7,4,14,11,5,1,7,1,4,10,1000,1000,1111,South,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
10,4,6,4,14,10,5,1,7,1,4,10,1000,1000,1111,South,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
9,4,6,3,13,10,5,1,7,1,4,10,1000,1000,1111,West,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
8,4,6,4,14,10,5,1,7,1,2,12,1000,1000,1111,West,11,W,W,W,W,W,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West
7,4,6,5,14,9,5,1,7,1,2,12,1000,1000,1111,West,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,West
6,4,7,5,15,9,5,1,7,1,2,14,1000,1000,1111,West,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,West
5,4,6,5,14,9,5,1,7,1,2,14,1000,1000,1111,West,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,West
4,4,5,5,14,8,5,1,7,1,2,14,1000,1000,1111,West,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,East
5,4,6,5,15,8,5,1,7,1,2,14,1000,1000,1111,East,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,East
6,4,1,1,15,8,5,1,7,1,1000,13,1000,1000,1111,East,1011,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
6,5,1,1,14,8,5,1,7,1,1000,11,1000,1000,1111,North,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
6,6,1,1,14,7,5,1,7,1,1000,9,1000,1000,1111,North,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
6,7,1,1,14,8,5,1,7,1,1000,9,1000,1000,1111,North,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
7,7,1,1,14,7,5,1,7,1,1000,7,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
8,7,1,1,13,7,5,1,7,1,1000,5,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
9,7,1,1,13,8,5,1,7,1,1000,5,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
10,7,1,1,13,8,5,1,7,1,1000,4,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
11,7,1,1,13,7,5,1,7,1,1000,2,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,East
12,7,1,1,13,6,5,1,7,1,1000,2,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
13,7,1,1,14,6,5,1,7,1,1000,2,1000,1000,1111,East,1011,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
13,8,1,1,13,6,5,1,7,1,1000,2,1000,1000,1111,North,1011,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North
13,9,1,1,13,6,5,1,7,1,1000,3,1000,1000,1111,North,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
13,8,1,1,14,6,5,1,7,1,1000,3,1000,1000,1111,South,1011,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
13,7,1,1,15,6,5,1,7,1,1000,3,1000,1000,1111,South,1011,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
13,6,1,1,16,6,5,1,7,1,1000,3,1000,1000,1111,South,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South
13,5,1,1,16,5,5,1,7,1,1000,3,1000,1000,1111,South,1011,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East
