@relation BasicAgentAAtraining-data

@attribute xPacmanPosition NUMERIC
@attribute yPacmanPosition NUMERIC
@attribute ghostPosition1x NUMERIC
@attribute ghostPosition1y NUMERIC
@attribute ghostPosition2x NUMERIC
@attribute ghostPosition2y NUMERIC
@attribute ghostPosition3x NUMERIC
@attribute ghostPosition3y NUMERIC
@attribute ghostPosition4x NUMERIC
@attribute ghostPosition4y NUMERIC
@attribute distanceGhost1 NUMERIC
@attribute distanceGhost2 NUMERIC
@attribute distanceGhost3 NUMERIC
@attribute distanceGhost4 NUMERIC
@attribute validActions{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute lastAction{Stop,South,North,West,East}
@attribute aliveGhost{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute score NUMERIC
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute nearestDot NUMERIC
@attribute action{Stop,South,North,West,East}
@attribute nextScore NUMERIC

@data
13,13,2,14,13,5,5,1,24,4,12,8,1000,19,1111,East,10,186,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7,South,185
13,12,2,13,13,5,5,1,23,4,12,7,1000,19,1111,South,10,185,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,South,184
13,11,2,14,13,4,5,1,24,4,14,7,1000,19,1111,South,10,184,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,South,183
13,10,2,14,13,4,5,1,25,4,15,6,1000,18,1111,South,10,183,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,South,182
13,9,2,13,14,4,5,1,25,4,15,6,1000,16,1111,South,10,182,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,East,181
14,9,2,14,14,5,5,1,25,5,17,4,1000,14,1111,East,10,181,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,2,South,180
14,8,3,14,14,5,5,1,24,5,17,3,1000,12,1111,South,10,180,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,South,279
14,7,2,14,14,6,5,1,23,5,19,1,1000,12,1111,South,10,279,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,12,South,478
14,6,2,15,3,1,5,1,24,5,21,1000,1000,12,1111,South,110,478,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,11,East,477
15,6,3,15,3,1,5,1,25,5,21,1000,1000,10,1111,East,110,477,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,12,East,476
16,6,3,15,3,1,5,1,25,6,22,1000,1000,10,1111,East,110,476,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,13,East,475
17,6,3,16,3,1,5,1,25,7,24,1000,1000,10,1111,East,110,475,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,14,East,474
18,6,3,16,3,1,5,1,25,8,25,1000,1000,8,1111,East,110,474,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,13,East,473
19,6,3,15,3,1,5,1,25,7,25,1000,1000,6,1111,East,110,473,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,12,East,472
20,6,3,15,3,1,5,1,25,6,26,1000,1000,4,1111,East,110,472,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,11,East,471
21,6,4,15,3,1,5,1,24,6,26,1000,1000,2,1111,East,110,471,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,East,470
22,6,4,14,3,1,5,1,23,6,26,1000,1000,1,1111,East,110,470,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,9,East,669
23,6,5,14,3,1,5,1,7,1,26,1000,1000,1000,1111,East,111,669,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,North,668
23,7,6,14,3,1,5,1,7,1,24,1000,1000,1000,1111,North,111,668,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9,North,667
23,8,6,14,3,1,5,1,7,1,23,1000,1000,1000,1111,North,111,667,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,North,666
23,9,5,14,3,1,5,1,7,1,23,1000,1000,1000,1111,North,111,666,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7,North,665
23,10,5,15,3,1,5,1,7,1,23,1000,1000,1000,1111,North,111,665,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,North,664
23,11,6,15,3,1,5,1,7,1,21,1000,1000,1000,1111,North,111,664,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,North,663
23,12,5,15,3,1,5,1,7,1,21,1000,1000,1000,1111,North,111,663,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,North,662
23,13,5,15,3,1,5,1,7,1,20,1000,1000,1000,1111,North,111,662,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,North,661
23,14,5,15,3,1,5,1,7,1,19,1000,1000,1000,1111,North,111,661,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,2,North,660
23,15,5,14,3,1,5,1,7,1,19,1000,1000,1000,1111,North,111,660,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,West,759
22,15,5,15,3,1,5,1,7,1,17,1000,1000,1000,1111,West,111,759,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,17,West,758
21,15,4,15,3,1,5,1,7,1,17,1000,1000,1000,1111,West,111,758,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,16,West,757
20,15,4,14,3,1,5,1,7,1,17,1000,1000,1000,1111,West,111,757,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,South,756
20,14,5,14,3,1,5,1,7,1,15,1000,1000,1000,1111,South,111,756,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,16,West,755
19,14,6,14,3,1,5,1,7,1,13,1000,1000,1000,1111,West,111,755,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,West,754
18,14,5,14,3,1,5,1,7,1,13,1000,1000,1000,1111,West,111,754,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,14,West,753
17,14,4,14,3,1,5,1,7,1,13,1000,1000,1000,1111,West,111,753,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,13,West,752
16,14,3,14,3,1,5,1,7,1,13,1000,1000,1000,1111,West,111,752,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,12,West,751
15,14,3,15,3,1,5,1,7,1,13,1000,1000,1000,1111,West,111,751,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,11,North,750
15,15,3,15,3,1,5,1,7,1,12,1000,1000,1000,1111,North,111,750,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,West,749
14,15,3,14,3,1,5,1,7,1,12,1000,1000,1000,1111,West,111,749,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9,South,748
14,14,2,14,3,1,5,1,7,1,12,1000,1000,1000,1111,South,111,748,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,West,747
13,14,2,14,3,1,5,1,7,1,11,1000,1000,1000,1111,West,111,747,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9,West,746
12,14,2,14,3,1,5,1,7,1,10,1000,1000,1000,1111,West,111,746,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,West,745
11,14,2,14,3,1,5,1,7,1,9,1000,1000,1000,1111,West,111,745,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7,West,744
10,14,1,14,3,1,5,1,7,1,9,1000,1000,1000,1111,West,111,744,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,West,743
9,14,1,14,3,1,5,1,7,1,8,1000,1000,1000,1111,West,111,743,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,742
8,14,1,13,3,1,5,1,7,1,8,1000,1000,1000,1111,West,111,742,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,South,741
8,13,1,14,3,1,5,1,7,1,8,1000,1000,1000,1111,South,111,741,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,740
7,13,2,14,3,1,5,1,7,1,6,1000,1000,1000,1111,West,111,740,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,North,739
7,14,2,14,3,1,5,1,7,1,5,1000,1000,1000,1111,North,111,739,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,West,738
6,14,1,14,3,1,5,1,7,1,5,1000,1000,1000,1111,West,111,738,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,West,737
5,14,1,15,3,1,5,1,7,1,5,1000,1000,1000,1111,West,111,737,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,North,736
5,15,1,14,3,1,5,1,7,1,5,1000,1000,1000,1111,North,111,736,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,West,735
4,15,1,15,3,1,5,1,7,1,3,1000,1000,1000,1111,West,111,735,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,734
3,15,1,16,3,1,5,1,7,1,3,1000,1000,1000,1111,West,111,734,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,6,North,733
3,16,1,15,3,1,5,1,7,1,3,1000,1000,1000,1111,North,111,733,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,732
2,16,1,14,3,1,5,1,7,1,3,1000,1000,1000,1111,West,111,732,W,G,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,6,West,731
1,16,1,14,3,1,5,1,7,1,2,1000,1000,1000,1110,West,111,731,W,W,G,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,7,South,730
17,5,11,3,17,6,25,7,26,3,8,1,10,11,1111,Stop,0,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,None,North,199
17,6,11,4,3,1,25,7,26,3,8,1000,9,11,1111,North,100,199,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,198
16,6,10,4,3,1,25,8,25,3,8,1000,11,11,1111,West,100,198,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,197
16,5,10,3,3,1,25,8,24,3,8,1000,12,9,1111,South,100,197,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,196
16,4,11,3,3,1,25,7,23,3,6,1000,12,7,1111,South,100,196,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,195
16,3,11,4,3,1,25,8,22,3,6,1000,14,7,1011,South,100,195,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,194
15,3,11,3,3,1,25,8,22,4,4,1000,15,7,1011,West,100,194,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,193
14,3,10,3,3,1,24,8,22,3,4,1000,15,8,1011,West,100,193,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,192
13,3,9,3,3,1,25,8,22,3,4,1000,17,8,1011,West,100,192,E,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,191
12,3,9,4,3,1,24,8,21,3,4,1000,17,9,1011,West,100,191,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,190
12,4,9,5,3,1,24,7,21,3,4,1000,15,9,1111,North,100,190,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,189
12,5,9,6,3,1,24,6,21,4,4,1000,13,11,1111,North,100,189,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,188
12,6,10,6,3,1,23,6,22,4,2,1000,11,13,1111,North,100,188,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,187
11,6,10,7,3,1,22,6,22,3,2,1000,11,13,1111,West,100,187,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,None,North,186
11,7,10,7,3,1,22,5,22,4,1,1000,13,13,1111,North,100,186,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,385
10,7,1,1,3,1,21,5,21,4,1000,1000,13,13,1111,West,1100,385,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,384
10,6,1,1,3,1,21,6,21,5,1000,1000,11,13,1111,South,1100,384,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,383
11,6,1,1,3,1,22,6,22,5,1000,1000,11,12,1111,East,1100,383,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,382
12,6,1,1,3,1,22,7,22,5,1000,1000,11,10,1111,East,1100,382,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,381
13,6,1,1,3,1,22,6,22,6,1000,1000,9,10,1111,East,1100,381,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,380
14,6,1,1,3,1,21,6,22,5,1000,1000,7,9,1111,East,1100,380,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,379
15,6,1,1,3,1,21,7,22,5,1000,1000,7,9,1111,East,1100,379,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,378
16,6,1,1,3,1,21,7,22,4,1000,1000,6,7,1111,East,1100,378,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,377
17,6,1,1,3,1,21,8,21,4,1000,1000,6,5,1111,East,1100,377,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,376
18,6,1,1,3,1,21,7,20,4,1000,1000,4,5,1111,East,1100,376,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,375
19,6,1,1,3,1,21,8,21,4,1000,1000,4,3,1111,East,1100,375,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,None,East,374
20,6,1,1,3,1,21,7,21,5,1000,1000,2,1,1111,East,1100,374,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,None,East,573
15,11,1,3,1,18,28,3,28,18,22,21,21,20,1111,Stop,0,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-1
16,11,1,4,2,18,27,3,28,18,22,21,19,18,1111,East,0,-1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-2
17,11,1,3,2,18,26,3,28,17,24,22,17,18,1111,East,0,-2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-3
18,11,1,3,2,18,26,4,28,18,25,23,15,16,1111,East,0,-3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-4
19,11,1,3,1,18,26,4,27,18,26,25,14,16,1111,East,0,-4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-5
20,11,2,3,2,18,26,4,28,18,26,25,13,14,1111,East,0,-5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-6
21,11,2,4,2,17,27,4,28,17,26,25,13,14,1111,East,0,-6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-7
22,11,3,4,2,16,27,5,28,18,26,25,11,13,1111,East,0,-7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-8
23,11,4,4,3,16,26,5,28,18,26,25,9,12,1111,East,0,-8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-9
24,11,4,3,3,17,26,6,28,18,28,27,7,10,1111,East,0,-9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,-10
25,11,4,3,3,16,25,6,27,18,29,27,5,9,1111,East,0,-10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-11
25,10,4,4,4,16,25,7,27,18,27,27,3,9,1111,South,0,-11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-12
25,9,4,3,3,16,25,7,27,17,27,29,2,10,1111,South,0,-12,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,-13
25,8,3,3,4,16,24,7,27,17,27,29,2,10,1111,South,0,-13,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,186
25,7,3,4,3,16,5,1,27,16,25,31,1000,11,1111,South,10,186,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,East,185
26,7,2,4,3,16,5,1,27,16,27,32,1000,9,1111,East,10,185,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,184
26,8,2,3,2,16,5,1,26,16,29,32,1000,9,1111,North,10,184,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,183
26,9,3,3,1,16,5,1,26,17,29,32,1000,7,1111,North,10,183,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,182
26,10,3,3,1,17,5,1,26,16,30,32,1000,6,1111,North,10,182,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,181
26,11,3,3,2,17,5,1,26,16,31,30,1000,5,1111,North,10,181,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,180
26,12,3,4,2,18,5,1,26,16,31,30,1000,5,1111,North,10,180,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,179
26,13,4,4,2,18,5,1,27,16,31,29,1000,3,1111,North,10,179,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,178
26,14,4,5,3,18,5,1,27,15,31,27,1000,2,1111,North,10,178,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,None,North,177
26,15,4,4,3,18,5,1,27,15,33,26,1000,1,1111,North,10,177,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,None,East,376
27,15,4,4,3,17,5,1,7,1,34,26,1000,1000,1111,East,11,376,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,None,North,375
27,16,4,4,4,17,5,1,7,1,35,24,1000,1000,1111,North,11,375,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,None,North,374
27,17,4,5,5,17,5,1,7,1,35,22,1000,1000,1111,North,11,374,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,W,W,W,W,W,None,West,373
26,17,4,4,5,17,5,1,7,1,35,21,1000,1000,1111,West,11,373,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,372
25,17,4,3,4,17,5,1,7,1,35,21,1000,1000,1111,West,11,372,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,371
24,17,4,4,3,17,5,1,7,1,33,21,1000,1000,1111,West,11,371,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,370
23,17,4,5,3,18,5,1,7,1,31,21,1000,1000,1111,West,11,370,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,North,369
23,18,4,5,3,18,5,1,7,1,32,20,1000,1000,111,North,11,369,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,West,368
22,18,3,5,3,17,5,1,7,1,32,20,1000,1000,111,West,11,368,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,South,367
22,17,2,5,2,17,5,1,7,1,32,20,1000,1000,1111,South,11,367,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,366
21,17,2,5,2,17,5,1,7,1,31,19,1000,1000,1111,West,11,366,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,365
20,17,2,6,2,17,5,1,7,1,29,18,1000,1000,1111,West,11,365,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,364
19,17,2,7,2,17,5,1,7,1,27,17,1000,1000,1111,West,11,364,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,363
18,17,2,8,1,17,5,1,7,1,25,17,1000,1000,1111,West,11,363,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,West,362
17,17,2,9,1,18,5,1,7,1,23,17,1000,1000,1111,West,11,362,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,North,361
17,18,1,9,1,17,5,1,7,1,25,17,1000,1000,111,North,11,361,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,West,360
16,18,2,9,1,16,5,1,7,1,23,17,1000,1000,111,West,11,360,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,None,South,359
16,17,2,8,1,16,5,1,7,1,23,16,1000,1000,1111,South,11,359,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,None,South,358
16,16,2,8,2,16,5,1,7,1,22,14,1000,1000,1111,South,11,358,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,357
15,16,2,7,1,16,5,1,7,1,22,14,1000,1000,1111,West,11,357,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,356
14,16,2,6,1,15,5,1,7,1,22,14,1000,1000,1111,West,11,356,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,355
14,15,3,6,1,16,5,1,7,1,20,14,1000,1000,1111,South,11,355,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,354
13,15,3,5,1,16,5,1,7,1,20,13,1000,1000,1111,West,11,354,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,North,353
13,16,2,5,1,15,5,1,7,1,22,13,1000,1000,1111,North,11,353,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,352
12,16,2,5,1,14,5,1,7,1,21,13,1000,1000,1111,West,11,352,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,351
12,15,1,5,1,14,5,1,7,1,21,12,1000,1000,1111,South,11,351,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,South,350
12,14,2,5,2,14,5,1,7,1,19,10,1000,1000,1111,South,11,350,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,349
11,14,2,6,2,14,5,1,7,1,17,9,1000,1000,1111,West,11,349,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,348
10,14,2,6,2,14,5,1,7,1,16,8,1000,1000,1111,West,11,348,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,347
9,14,2,7,2,14,5,1,7,1,14,7,1000,1000,1111,West,11,347,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,None,West,346
